,station,latitude,longitude
321,Naka-Itabashi Station,35.7564299,139.694164
322,Naka-Meguro Station,35.6440782,139.6987828
323,Naka-Okachimachi Station,35.706559,139.7761742
324,Nakagami Station,26.40293425,127.67380814422
325,Nakagawara Station (Tokyo),35.6596172,139.4578941
326,Nakai Station,35.334473,139.220648
327,Nakamurabashi Station,35.7367937,139.6377931
328,Nakano Station (Tokyo),35.718123,139.664468
329,Nakano-fujimichō Station,35.6905599,139.6669249
330,Nakano-sakaue Station,35.6972411,139.6829269
331,Nakano-shimbashi Station,35.6917441,139.6740282
332,Nakanobu Station,35.6057172,139.712596
333,Narimasu Station,35.7780611,139.6328675
334,Naruse Station,35.5353004,139.4729739
335,Nerima Station,35.74836,139.638735
336,Nerima-kasugachō Station,35.7514219,139.6403688
337,Nerima-Takanodai Station,35.7409213,139.6163048
338,Nezu Station,35.7173532,139.765722
339,Nihombashi Station,35.6816488,139.7761952
340,Nijūbashimae Station,35.6803228,139.7616318
341,Ningyōchō Station,35.6846949,139.7827082
342,Nippori Station,35.7289204,139.7713635
343,Nishi-chōfu Station,35.6570472,139.5301869
344,Nishi-eifuku Station,35.6787507,139.635490189443
345,Nishi-Hachiōji Station,35.6564769,139.312459
346,Nishi-Kasai Station,35.6641924,139.8591873
347,Nishi-Kokubunji Station,35.69974,139.4660796
348,Nishi-Koyama Station,35.6154993,139.6986894
349,Nishi-Kunitachi Station,35.6932804,139.4241055
350,Nishi-magome Station,35.5860611,139.7053696
351,Nishi-Ogikubo Station,35.7037331,139.5996053
352,Nishi-Ōi Station,35.6018658,139.7216714
353,Nishi-ojima Station,35.6895108,139.8269603
354,Nishi-Shinjuku Station,35.6944228,139.6927786
355,Nishi-Shinjuku-gochōme Station,35.6899897,139.6847705
356,Nishi-sugamo Station,35.7437168,139.7285828
357,Nishi-Tachikawa Station,35.7035299,139.3936369
358,Nishi-Taishidō Station,35.6445963,139.6662174
359,Nishi-Takashimadaira Station,35.7914021,139.6463585
360,Nishi-waseda Station,35.7079254,139.7090596
361,Nishiarai Station,35.777253,139.790321
362,Nishiaraidaishi-nishi Station,35.7815513,139.7700397
363,Nishidai Station (Tokyo),35.7869431,139.6740066
364,Nishifu Station,35.6709515,139.4573765
365,Nishigahara Station,35.7460255,139.7422068
366,Nishigahara-yonchōme Station,35.744721,139.733094
367,Nogata Station,33.756755,130.744155
368,Nogizaka Station,35.666462,139.727924
369,Numabe Station,35.5827775,139.6730758
370,Numabukuro Station,35.7192588,139.664613
371,Ochanomizu Station,35.6994731,139.76520161347
372,Ochiai Station (Tokyo),35.7104503,139.6849785
373,Ochiai-minami-nagasaki Station,35.7232032,139.6836262
374,Odai Station (Tokyo),35.7505248,139.7622552
375,Odaiba-kaihinkōen Station,35.6299113,139.778807
376,Ogawa Station (Tokyo),35.7375194,139.4635449
377,Ogawamachi Station (Tokyo),35.6948951,139.7661916
378,Ōgi-ōhashi Station,35.7639817,139.77078
379,Ogikubo Station,35.7048698,139.6207965
380,Ohanajaya Station,35.7476118,139.840248990246
381,Ōi Keibajō-mae Station,35.5951172,139.7470539
382,Ōimachi Station,35.6068506,139.7344214
383,Ōizumi-gakuen Station,35.74949415,139.586576341052
384,Ōji Station (Tokyo),35.754042,139.7377436
385,Ōji-ekimae Station,35.7529544,139.7380298
386,Oji-kamiya Station,35.7650066,139.7357803
387,Ojima Station,35.6897995,139.8350725
